ROI_ID_2,response
59,no
12,no
13,yes
14,no
16,no
17,no
2,no
20,yes
23,yes
27,yes
28,no
29,yes
32,no
33,yes
35,yes
36,no
37,yes
45,no
46,no
47,no
52,yes
56,yes
58,yes
60,no
64,yes
65,yes
70,no
72,yes
8,no
1,yes
10,no
12,no
13,yes
14,no
16,no
20,yes
23,yes
24,yes
29,yes
35,yes
37,yes
38,yes
39,yes
40,yes
41,no
9,yes
59,no
12,no
13,yes
16,no
17,no
20,yes
22,no
23,yes
24,yes
25,no
27,yes
28,no
3,yes
32,no
33,yes
34,no
35,yes
36,no
37,yes
4,no
44,no
45,no
46,no
47,no
48,no
5,no
52,yes
53,yes
56,yes
57,no
58,yes
60,no
62,yes
64,yes
65,yes
69,no
70,no
72,yes
48,no
1,yes
10,no
11,no
12,no
13,yes
16,no
17,no
2,no
20,yes
21,yes
23,yes
24,yes
25,no
27,yes
29,yes
3,yes
33,yes
35,yes
36,no
37,yes
38,yes
40,yes
41,no
45,no
47,no
8,no
59,no
11,no
12,no
13,yes
14,no
15,no
16,no
17,no
2,no
20,yes
21,yes
22,no
24,yes
25,no
27,yes
28,no
29,yes
3,yes
32,no
33,yes
34,no
35,yes
36,no
37,yes
38,yes
39,yes
4,no
41,no
44,no
45,no
46,no
47,no
48,no
5,no
52,yes
53,yes
56,yes
57,no
58,yes
60,no
63,no
64,yes
68,no
69,no
70,no
71,no
72,yes
8,no
9,yes
48,no
1,yes
10,no
11,no
12,no
13,yes
14,no
15,no
16,no
17,no
2,no
20,yes
21,yes
22,no
23,yes
24,yes
25,no
27,yes
28,no
29,yes
3,yes
32,no
33,yes
34,no
35,yes
36,no
37,yes
38,yes
39,yes
4,no
40,yes
41,no
44,no
45,no
46,no
47,no
5,no
8,no
9,yes
